Calle 1,Calle 2,Latitud,Longitud
santa maria,avenida santa rosa,-11.980.909,-77.111.780
santa maria,santa sofia,-11.979.480,-77.110.445
santa sofia,santa isabel,-11.979.319,-77.110.770
santa sofia,santa clara,-11.979.409,-77.110.579
santa sofia,santa maria,-11.979.480,-77.110.445
santa clara,santa sofia,-11.979.409,-77.110.579
santa clara,avenida 200 millas,-11.978.400,-77.111.700
orquideas,arequipa,-11.985.553,-77.106.347
orquideas,avenida santa rosa,-11.983.866,-77.106.083
libertad,girasoles,-11.980.252,-77.108.306
libertad,campanillas,-11.980.481,-77.107.936
campanillas,libertad,-11.980.481,-77.107.936
tumbes,san pablo,-11.982.008,-77.112.036
san felipe,san benito de palermo,-11.982.362,-77.110.856
san felipe,san pablo,-11.981.201,-77.112.249
calle carhuaz,calle los algarrobos,-11.976.001,-77.091.830
calle las margaritas,pasaje las amapolas,-11.972.004,-77.117.577
las torres de los olivos,avenida josefina,-11.954.023,-77.105.622
pisac,auxiliar avenida canta callao,-11.996.931,-77.113.209
pisac,calle ollanta,-11.996.182,-77.115.086
calle ollanta,pisac,-11.996.182,-77.115.086
calle ollanta,pasaje cajamarca,-11.996.550,-77.115.479
calle ollanta,avenida canada,-11.997.395,-77.115.943
pasaje cajamarca,calle ollanta,-11.996.550,-77.115.479
pasaje cajamarca,pasaje piura,-11.996.350,-77.115.938
pasaje cajamarca,pasaje tambomachay,-11.996.656,-77.117.328
pasaje cajamarca,jose francisco,-11.997.307,-77.118.185
pasaje cajamarca,pucura,-11.997.900,-77.118.757
pasaje cajamarca,pasaje jorge colque,-11.998.866,-77.119.294
avenida canada,avenida canta callao,-11.998.442,-77.114.453
avenida canada,auxiliar avenida canta callao,-11.998.342,-77.114.605
avenida canada,avenida san juan macias,-11.998.320,-77.114.663
avenida canada,calle ollanta,-11.997.395,-77.115.943
avenida canada,pasaje tambomachay,-11.997.467,-77.117.070
avenida canada,avenida elmer faucett,-11.999.807,-77.118.672
pasaje piura,pasaje cajamarca,-11.996.350,-77.115.938
pasaje piura,pasaje tambomachay,-11.997.072,-77.117.203
pasaje tambomachay,pasaje arequipa,-11.995.429,-77.117.742
pasaje tambomachay,pasaje cajamarca,-11.996.656,-77.117.328
pasaje tambomachay,pasaje piura,-11.997.072,-77.117.203
pasaje tambomachay,avenida canada,-11.997.467,-77.117.070
pasaje tambomachay,pasaje tumbes,-11.997.971,-77.116.889
jose francisco,pasaje piura,-11.997.474,-77.117.986
jose francisco,pasaje cajamarca,-11.997.307,-77.118.185
pucura,avenida canada,-11.997.752,-77.115.443
pucura,pasaje piura,-11.998.027,-77.118.407
pucura,pasaje cajamarca,-11.997.900,-77.118.757
pucura,avenida cuzco,-11.997.054,-77.120.448
pasaje jorge colque,pasaje cajamarca,-11.998.866,-77.119.294
pasaje jorge colque,pasaje piura,-11.999.015,-77.118.915
avenida san juan macias,avenida canada,-11.998.320,-77.114.663
avenida san juan macias,jiron tacna,-11.999.205,-77.116.083
avenida san juan macias,pasaje piura,-11.999.371,-77.119.037
avenida san juan macias,avenida cuzco,-11.998.619,-77.121.159
avenida elmer faucett,avenida canta callao,-12.000.819,-77.116.816
avenida elmer faucett,avenida canada,-11.999.807,-77.118.672
avenida elmer faucett,avenida cuzco,-11.998.934,-77.121.245
pasaje arequipa,pasaje tambomachay,-11.995.429,-77.117.742
pasaje arequipa,avenida cuzco,-11.995.824,-77.119.366
pasaje arequipa,alameda santa rosa,-11.994.901,-77.116.027
pasaje tumbes,pasaje tambomachay,-11.997.971,-77.116.889
avenida cuzco,alameda santa rosa,-11.994.450,-77.115.865
avenida cuzco,pucura,-11.997.054,-77.120.448
avenida cuzco,avenida san juan macias,-11.998.619,-77.121.159
avenida cuzco,avenida elmer faucett,-11.998.934,-77.121.245
alameda santa rosa,avenida cuzco,-11.994.450,-77.115.865
alameda santa rosa,pasaje arequipa,-11.994.901,-77.116.027
jiron tacna,avenida san juan macias,-11.999.205,-77.116.083
jiron tacna,pucura,-11.998.405,-77.116.478
avenida los pinos,avenida alejandro bertello bollati,-11.992.103,-77.114.261
avenida los pinos,pisac,-11.992.143,-77.114.730
calle san carlos,avenida alejandro bertello bollati,-11.986.600,-77.115.357
calle florence,avenida alejandro bertello bollati,-11.990.911,-77.114.183
calle florence,manzana d,-11.991.751,-77.109.624
manzana d,calle florence,-11.991.751,-77.109.624
calle las palmeras 2,avenida alejandro bertello bollati,-11.997.446,-77.112.266
calle las palmeras 2,calle las lupuna 3,-11.997.217,-77.111.715
calle las palmeras 2,calle las caobas,-11.996.895,-77.111.477
calle las palmeras 2,calle los cibeles,-11.996.552,-77.111.206
calle las palmeras 2,pasaje las hiedras,-11.996.171,-77.110.952
calle las palmeras 2,avenida pacasmayo,-11.994.703,-77.109.775
calle 22,avenida alejandro bertello bollati,-11.998.373,-77.111.787
calle 22,calle las lupuna 3,-11.998.108,-77.111.310
calle 22,calle las caobas,-11.997.904,-77.110.870
calle miguel grau,calle alfonso ugarte,-11.974.928,-77.101.482
alisos,avenida alejandro bertello bollati,-12.001.738,-77.110.327
alisos,los alhelies,-12.001.988,-77.110.877
alisos,alfa,-12.002.379,-77.111.706
alisos,guirnaldas,-12.002.789,-77.112.578
alisos,las colinas,-12.003.609,-77.114.336
avenida colectora,avenida alejandro bertello bollati,-12.002.774,-77.109.503
avenida colectora,calle las lupuna 3,-12.002.532,-77.109.005
avenida colectora,pasaje los datiles,-12.002.656,-77.108.954
avenida colectora,avenida pacasmayo,-12.001.102,-77.106.155
avenida colectora,chimabamba,-12.000.361,-77.104.465
los cedros,avenida alejandro bertello bollati,-12.003.430,-77.109.477
los cedros,guirnaldas,-12.004.502,-77.111.695
los cedros,avenida elmer faucett,-12.005.642,-77.114.068
avenida boca negra,avenida elmer faucett,-12.013.537,-77.110.130
avenida boca negra,avenida alejandro bertello bollati,-12.009.775,-77.106.032
avenida boca negra,avenida pacasmayo,-12.008.219,-77.102.725
avenida boca negra,pasaje los datiles,-12.007.774,-77.101.831
avenida boca negra,avenida los dominicos,-12.006.563,-77.098.859
calle misionero carbajal,avenida alejandro bertello bollati,-12.014.443,-77.103.693
misionero vega,avenida alejandro bertello bollati,-12.016.129,-77.102.873
avenida tomas valle,avenida alejandro bertello bollati,-12.019.434,-77.101.253
avenida tomas valle,avenida peru,12.019.614,-77.101.152
avenida tomas valle,auxiliar avenida tomas valle,-12.021.463,-77.104.821
avenida tomas valle,avenida los proceres,-12.012.224,-77.087.204
avenida peru,avenida alejandro bertello bollati,-12.019.792,-77.101.407
calle las lupuna 3,calle las palmeras 2,-11.997.217,-77.111.715
calle las lupuna 3,calle 22,-11.998.108,-77.111.310
calle las lupuna 3,avenida colectora,-12.002.532,-77.109.005
calle las caobas,calle las palmeras 2,-11.996.895,-77.111.477
calle los cibeles,calle las palmeras 2,-11.996.552,-77.111.206
calle los cibeles,pasaje los datiles,-11.997.220,-77.110.428
pasaje las hiedras,calle las palmeras 2,-11.996.171,-77.110.952
pasaje las hiedras,pasaje los datiles,-11.996.755,-77.110.218
